Location,Location,District,District,獸醫診所名稱 (Chinese),Name of Vet Clinic (English),營業地址,Address,Call Phone Number,WhatsApp Number,24 hours,Website ,Opening Time,Google Review Link
New Territories,新界,沙田區 ,Sha Tin District ,大圍珍禽異獸24小時寵物醫院,Tai Wai 24 Hours Small Animal & Exotic Hospital,香港新界沙田積信街69至75號,"69–75 Chik Shun Street, Tai Wai, Sha Tin, N.T.",2687 1030,9036 4060,Y,https://www.taiwaiexotic.com/en/our-hospitals/tai-wai-small-animal-and-exotic-hospital,Open 24hrs daily,
New Territories,新界,元朗區,Yuen Long District,專一動物診所,The AIM Animal Clinic,香港新界元朗鳳翔路69號建輝大廈地下19號舖,"Shop 19, G/F, Kin Fai Building, 69 Fung Cheung Road, Yuen Long, N.T.",2470 6683,85253444624,Y,https://petspace.group/en_hk/our-news/2022/the-aim-animal-clinic-once-again-offers-24/7-services-on-every-tuesday/,Open 24hrs daily,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",方舟動物醫院,The Ark Veterinary Hospital,香港西營盤水街25–35A號地下1號舖,"Shop 1, G/F, 25–35A Water Street, Sai Ying Pun, HK",2549 2330,85255904993,Y,https://petspace.group/en_hk/our-services/24-hour-pet-hospital/,Open 24hrs daily,
Hong Kong Island,港島,灣仔區,Wan Chai District,The Pet Vet,The Pet Vet,香港灣仔盧押道5號1樓（入口：譚臣道）,"1/F, 5 Luard Road, Wan Chai, HK (Main Entrance: Thomson Road)",2111 1319,2111 1319,,https://thepetvet.com.hk/,"9:00am-9:00pm
Sat & Sun 10:00am-7:00pm",
New Territories,新界,屯門區 ,Tuen Mun District,Prime View 動物診所,The Prime View Veterinary Centre,香港新界屯門井財街21號協邦樓地下6-7號舖,"Shop 6-7, G/F, Hip Pont Building, 21 Tseng Choi Street, Tuen Mun, N.T.",2363 1860,primeviewvet@gmail.com,N,https://www.facebook.com/primeviewvet/,"10:00am-1:00pm, 2:00-7:00pm",
Hong Kong Island,港島,東區,Eastern District,健河動物醫院,The Sanctuary Animal Hospital,香港西灣河筲箕灣道56號地下,"G/F, 56 Shau Kei Wan Road, Sai Wan Ho, HK",2560 2721,85225602721,,https://www.sanctuary-animal-hospital.com.hk/?srsltid=AfmBOoonand02Wv77nleXFb8uXGy_JhwT7ESa2Mabq2Xo_OFydQrTERo,"9:00am-7:00pm
Sat & Sun 9:00am-6:00pm",
Kowloon,九龍,深水埗區,Sham Shui Po District,太僕中心,The Vet Centre,香港九龍深水埗福榮街1-3號地下,"G/F, 1–3 Fuk Wing Street, Sham Shui Po, Kowloon",2777 2878,85294496122,,https://www.thevetcentre.com/index.php/zh/about-us,10:00am-8:00pm,
New Territories,新界,西貢區 ,Sai Kung District,The Vet House,The Vet House,香港新界西貢西道46號地下,"G/F, No.46 Sai Kung Road, Sai Kung, N.T.",3613 1259,52663116,,https://www.davidthevet.com/,"9:00am-5:30pm
Fri - Closed
Sun 9:30am-1:00pm",
Hong Kong Island,港島,東區,Eastern District,天后寵物醫院,Tin Hau Pet Hospital,香港天后英皇道41號慧信大廈地下B舖,"Shop B, G/F, Wilson Court, 41 King's Road, Tin Hau, HK",2104 2000,info@thph.com.hk,N,,"9:30am-7:00pm
Sun 10:00am-7:00pm",
Hong Kong Island,港島,東區,Eastern District,Trinity Vets,Trinity Vets,香港天后清風街23號地下,"G/F, 23 Tsing Fung St, North Point, Hong Kong",2116 5061,85261584061,,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.trinityvets.com.hk%2F&h=AT202NIc-Ubyq3W-6W06aB-Xrw2YnJupfkWgVIkijjXys4jzHshsVP6lrso2Tx9k2tUhl_t9R4ejiGTgCtVZ57pSwKbnPaAl5tN4luJRu_1pGWGXQM1U-2SP3rgZurRU0RdGbJPQW_pUf0hhp_bV4Q,"9:00am-1:00pm, 2:00-7:00pm
Sun 10:00am-1:00pm, 2:00-7:00pm",
New Territories,新界,荃灣區 ,Tsuen Wan District,荃灣獸醫寵物醫院,Tsuen Wan VetnPet Hospital,香港新界荃灣沙咀道168號地下8號舖,"Shop 8, G/F, 168 Sha Tsui Road, Tsuen Wan, N.T.",2573 0028,vetnpethospital@yahoo.com.hk,N,https://www.facebook.com/vetnpethospital/,10:00am-9:00pm,
New Territories,新界,屯門區 ,Tuen Mun District,屯門獸醫診所,Tuen Mun Veterinary Clinic,香港新界屯門建生邨建生商場2樓S舖,"Shop S, 2/F, Kin Sang Shopping Centre, Kin Sang Estate, Tuen Mun, N.T.",2468 3113,N/A,,N/A,No Record,
New Territories,新界,離島區 ,Islands District,東涌動物診所,Tung Chung Animal Clinic,香港新界東涌馬灣新村7號地下,"G/F, 7 Ma Wan Sun Village, Tung Chung, N.T.",2988 1534,tcreception@petspace.group,,,"9:30am-6:30pm
Sun - Closed",
New Territories,新界,離島區 ,Islands District,東涌獸醫中心,Tung Chung Vet Centre,香港新界東涌海濱路8號海堤商場Q2舖,"Shop Q2, Seaview Crescent Retail Shops, 8 Tung Chung Waterfront Road, Tung Chung, N.T.",2328 7282,tungchungvetcentre@gmail.com,N,https://www.facebook.com/tungchungvetcentre/,"9:00am-7:00pm
Sun 10:00am - 6:00pm",
New Territories,新界,沙田區 ,Sha Tin District ,聯邦動物診所,Union Veterinary Clinic,香港新界沙田積存街46號葵滙大廈,"G/F, Kwai Wai Building, 46 Chik Shun Street, Tai Wai, N.T.",2698 2185,N/A,N,N/A,"10:00am-1:00pm, 3:30-7:00pm
Sun - Closed",
Hong Kong Island,港島,灣仔區,Wan Chai District,快活谷獸醫中心,Valley Veterinary Centre,香港跑馬地源遠街15號地下,"G/F, 15 Yuen Yuen Street, Happy Valley, HK",2575 2389,info@valleyvetcentre.com.hk,N,http://www.valleyvetcentre.com.hk/,"8:00am-7:00pm
Sat 8:00am-6:00pm
Sun & PH 10:00am-1:00pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",香港獸醫急症中心,Veterinary Emergency Centre,香港堅尼地城卑路乍街136–142號聯威新樓地下B2及C舖,"Shop B2 & C, G/F, Luen Wai Apartments, 136–142 Belcher’s Street, Kennedy Town, HK",2334 2334,5588 6088,Y,https://www.vec.com.hk/en/,Open 24hrs daily,
New Territories,新界,元朗區,Yuen Long District,維多利24小時獸醫醫院,Victoria 24hr Veterinary Hospital,香港新界元朗仁愛路6號幸福樓二期地下11號舖,"Shop 11, G/F, Phase II, Hing Fook Building, 6 Yan Oi Road, Yuen Long, N.T.",2477 8929,info@victoriavet.com.hk,Y,https://victoriavetshk.com/,Open 24hrs daily,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,勝利動物醫院,Victory Animal Hospital,九龍旺角窩打老道71B號中源大廈1樓B座,"Block B, 1/F, Chung Yuen Mansion, 71B Waterloo Road, Mong Kok, KLN.",2711 0332,85268231522,,https://victoryanimalhospital.com/coming-soon/,"9:00am-12:00pm, 3:30-7:00pm
Sun 11:00am-2:00pm, 3:00-7:00pm",
New Territories,新界,西貢區 ,Sai Kung District,獸醫村莊,Village Vets,香港新界西貢翠塘路1A號壹同地下G1鋪,"Shop G1, G/F, Dock 1A, 1A Chui Tong Road, Sai Kung, N.T.",2323 2933,villagevets88@gmail.com,N,https://villagevetshk.com/,"9:00am-7:00pm
Sun 9:30am-6:30pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",維力寵物診所,Vitality Veterinary Clinic,香港堅尼地城北街15號昌裕大廈地下,"G/F, Cheong Yue Mansion, 15 North Street, Kennedy Town, HK",2891 2011 ,N/A,,,No record online,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,專寵獸醫診所,VPro Veterinary Clinic,九龍太子鴨寮街34號地下,"G/F, 34 Apliu Street, Prince Edward, KLN.",2368 1518,9667 5305,N,https://vprovetclinic.com.hk/en/home-2/,10:00am-8:30pm,
Kowloon,九龍,九龍城區,Kowloon City District,九龍專科獸醫醫院,VSH Kowloon,九龍何文田自由道7號地下至1樓,"G/F–1/F, 7 Liberty Avenue, Ho Man Tin, KLN.",2408 2588,85268482588,Y,https://www.vsh.com.hk/en-tw/contact-us,Open 24hrs daily,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,VetiVa Center for Animal Wellness,VetiVa Center for Animal Wellness,尖沙咀梳士巴利道18-24號維港文化匯K11辦公大樓19及20樓,Unit 1906-1907 & 2005-2006 ∙ K11 Atelier (Victoria Dockside) ∙ Tsim Sha Tsui ∙ Hong Kon,2592 1000,6499 0999,Y,https://www.vetiva.org/,Open 24hrs daily,
Hong Kong Island,港島,灣仔區,Wan Chai District,灣仔動物醫院,Wan Chai Animal Hospital,香港灣仔交加街7號永成大廈地下及地庫,"G/F & Basement, Wing Shing Mansion, 7 Cross Lane, Wan Chai, HK",2572 5422,N/A,,https://www.hongkongvet.com/en/about/main/1,"9:00am-12:00pm, 3:30pm-7:00pm",
New Territories,新界,元朗區,Yuen Long District,新界動物醫療中心,WEHUG Animal Medical Centre,香港新界元朗馬田路50號朗景臺1號地舖,"Shop 1, G/F, Crystal Park, 50 Ma Tin Road, Yuen Long, N.T.",3708 8770,98818112,Y,https://www.wehug.vet/?gad_source=1&gclid=EAIaIQobChMInNqvvOiWhQMVHNIWBR0wCgfjEAAYASAAEgJuQPD_BwE,Open 24hrs daily,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",港島西動物醫院,Westland Animal Hospital,香港堅尼地城堅彌地城海旁27號堅彌地城大廈地下3號舖,"Shop 3, G/F, Kennedy Town Building, 27 Praya Kennedy Town, HK",3500 5830,westland@peticare.com.hk,Y,https://www.facebook.com/wlah.hk/,24hours daily (Facebook),
New Territories,新界,新界北區,New Territories North District,和泰動物診所,Wo Tai Companion Animal Clinic,香港新界粉嶺聯和墟聯昌街23號地下,"G/F, 23 Luen Cheong Street, Luen Wo Hui, Fan Ling, N.T.",2675 6899,N/A,,N/A,"10:00am-1:30pm, 3:30pm-8:00pm
Sun 10:00-5:00pm",
New Territories,新界,元朗區,Yuen Long District,元朗獸醫動物及珍禽異獸醫院,Yuen Long Veterinary Small Animal and Exotics Hospital,香港新界元朗屏會街25號福順樓地下2號舖,"Shop 2, G/F, Fook Shun Building, 25 Ping Wui Street, Yuen Long, N.T.",2477 9990,cs@ylvet.com.hk,,https://www.ylvet.com.hk/,10:00am-8:30pm,
Hong Kong Island,港島,東區,Eastern District,星寵動物醫院,Zodiac Pet and Exotic Hospital,香港炮台山屈臣道15號維多利中心1樓102號舖,"Shop 102, 1/F, Victoria Centre, 15 Watson Road, Fortress Hill, HK",2527 1718,85259992396,,https://zodiacvet.com/en/home/,9:00am-10:00pm,
